Title,Year,Revenue,Rating,Critics ratings,Season,budget,genres,cast_popularity,critics_missing,log_revenue,log_budget,revenue_class
Dear Parents,2026,7547374,5.6,55.0,unknown,0.0,Comedy,0.6610730373036245,1,15.836710378650562,0.0,Low
The Wizard of the Kremlin,2026,7466379,6.1,55.0,winter,0.0,Drama,0.9196412749840409,1,15.825920834562991,0.0,Low
The Lord of the Rings: The Fellowship of the Ring 2026  Re-release,2026,7115492,6.4,55.0,unknown,0.0,Comedy,0.6610730373036245,1,15.777785077337537,0.0,Low
A Great Awakening,2026,6936650,7.6,55.0,spring,0.0,"Drama, History",0.2253411764705882,1,15.752329651169603,0.0,Low
BTS WORLD TOUR 'ARIRANG' in GOYANG: LIVE VIEWING,2026,6936152,7.3,55.0,spring,0.0,Comedy,0.6610730373036245,1,15.752257856022752,0.0,Low
Aida: The Movie,2026,6226884,6.6,55.0,winter,0.0,Comedy,0.6610730373036245,1,15.644386765721954,0.0,Low
Horst Schlämmer Is Looking for Happiness,2026,6214182,4.6,55.0,unknown,0.0,Comedy,0.6610730373036245,1,15.642344818131367,0.0,Low
The Rays and Shadows,2026,6190724,7.6,55.0,spring,35000000.0,"Drama, History, Family",0.2206416190092304,1,15.638562762196436,17.370858648025116,Low
Twenty One Pilots: More Than We Ever Imagined,2026,5837953,9.3,55.0,winter,0.0,Comedy,0.6610730373036245,1,15.579890950954397,0.0,Low
Bendito Corazon,2026,5794111,7.5,55.0,winter,0.0,Comedy,0.6610730373036245,1,15.572352787466336,0.0,Low
The American Dream,2026,5746095,7.6,55.0,winter,0.0,Comedy,0.6309110169892718,1,15.564031225656432,0.0,Low
Vaazha II: Biopic of a Billion Bros,2026,5564091,8.4,55.0,spring,0.0,Comedy,0.6610730373036245,1,15.531844366755774,0.0,Low
The Lord of the Rings: The Two Towers 2026  Re-release,2026,5526665,6.4,55.0,unknown,0.0,Comedy,0.6610730373036245,1,15.525095298376044,0.0,Low
D.I.S.C.O.,2026,5422937,7.2,55.0,unknown,0.0,Comedy,0.6610730373036245,1,15.506148292971563,0.0,Low
A Beautiful Day,2026,5212581,5.9,55.0,unknown,0.0,Comedy,0.6610730373036245,1,15.466585876380325,0.0,Low
Will You Be My Girlfriend?.,2026,5180744,5.7,55.0,unknown,0.0,Comedy,0.6610730373036245,1,15.46045942628804,0.0,Low
